id,client,query,status,source_url,saved_path
1,Pavagadh Mahakali Temple Pavagadh Gujarat,Pavagadh Mahakali Temple Pavagadh Gujarat official logo,search_error_DDGSException,,
2,Bharuchaji Temple Bhojan Shala Gujarat,Bharuchaji Temple Bhojan Shala Gujarat official logo,search_error_DDGSException,,
3,7Seas Mall Vadodara,7Seas Mall Vadodara official logo,search_error_DDGSException,,
4,Alpha One Mall Ahmedabad Gujarat,Alpha One Mall Ahmedabad Gujarat official logo,search_error_DDGSException,,
5,Gokul Dairy Ahmedabad Gujarat,Gokul Dairy Ahmedabad Gujarat official logo,search_error_DDGSException,,
6,Honour Restaurant Ahmedabad,Honour Restaurant Ahmedabad official logo,search_error_DDGSException,,
7,Ashrfilal Ice Cream Ahmedabad Gujarat,Ashrfilal Ice Cream Ahmedabad Gujarat official logo,search_error_DDGSException,,
8,INOX PVR Cinema Vadodara Ahmedabad,INOX PVR Cinema Vadodara Ahmedabad official logo,search_error_DDGSException,,
9,Mahalaxmi Swami Narayan Temple Mumbai,Mahalaxmi Swami Narayan Temple Mumbai official logo,search_error_DDGSException,,
10,Tasty Vadapav Vadodara Ahmedabad,Tasty Vadapav Vadodara Ahmedabad official logo,search_error_DDGSException,,
11,Ambica Fire Works Raipur Darwaja Ahmedabad,Ambica Fire Works Raipur Darwaja Ahmedabad official logo,search_error_DDGSException,,
12,Fun World Rajkot Gujarat,Fun World Rajkot Gujarat official logo,search_error_DDGSException,,
13,BAPS Swaminarayan Sarangpur Gujarat,BAPS Swaminarayan Sarangpur Gujarat official logo,search_error_DDGSException,,
14,Tirupati Rushivan Vijapur Ahmedabad,Tirupati Rushivan Vijapur Ahmedabad official logo,search_error_DDGSException,,
15,RaRaj Restaurant Law Garden Ahmedabad,RaRaj Restaurant Law Garden Ahmedabad official logo,search_error_DDGSException,,
16,Gandhi Vanmali Manek Chowk Ahmedabad,Gandhi Vanmali Manek Chowk Ahmedabad official logo,search_error_DDGSException,,
17,Rakesh Fire Works Savli Vadodara Gujarat,Rakesh Fire Works Savli Vadodara Gujarat official logo,search_error_DDGSException,,
18,The Lion Water Park Rajkot Gujarat,The Lion Water Park Rajkot Gujarat official logo,search_error_DDGSException,,
19,Bina Ice Cream Chowpati Mumbai,Bina Ice Cream Chowpati Mumbai official logo,search_error_DDGSException,,
20,Sundha Mata Ropeway Rajasthan,Sundha Mata Ropeway Rajasthan official logo,search_error_DDGSException,,
21,KD Hospital Nursing College Ahmedabad Gujarat,KD Hospital Nursing College Ahmedabad Gujarat official logo,search_error_DDGSException,,
22,NAAZ Indian Restaurant Leicester UK,NAAZ Indian Restaurant Leicester UK official logo,search_error_DDGSException,,
23,Rainbow Fire Works Vadodara,Rainbow Fire Works Vadodara official logo,search_error_DDGSException,,
24,Reliance Guesthouse Jamnagar Gujarat,Reliance Guesthouse Jamnagar Gujarat official logo,search_error_DDGSException,,
25,Satyanarayan Kathiyawadi Restaurant Vasad Gujarat,Satyanarayan Kathiyawadi Restaurant Vasad Gujarat official logo,search_error_DDGSException,,
